-	(x < -11.0)	(x < 8.0)	(x < -2.0)	(x < 10.0)	(x < 20.0)	(x >= -5.0)	(x >= 0.0)	(x >= 13.0)	(x >= -9.0)	(x >= -6.0)	(G[11.0,18.0](x < 17.0))	(G[13.0,19.0](x < -4.0))	(G[7.0,16.0](x < 1.0))	(G[2.0,11.0](x < 7.0))	(G[3.0,5.0](x < -9.0))	(G[1.0,19.0](x >= -2.0))	(G[14.0,16.0](x >= 10.0))	(G[4.0,5.0](x >= -8.0))	(G[5.0,8.0](x >= 4.0))	(G[15.0,19.0](x >= 0.0))	(F[19.0,20.0](x < 5.0))	(F[11.0,20.0](x < 13.0))	(F[18.0,19.0](x < 14.0))	(F[15.0,20.0](x < 11.0))	(F[1.0,4.0](x < -2.0))	(F[10.0,17.0](x >= 18.0))	(F[11.0,14.0](x >= 1.0))	(F[18.0,19.0](x >= 0.0))	(F[9.0,11.0](x >= -2.0))	(F[7.0,10.0](x >= 1.0))	((G[4.0,5.0](x >= -8.0)) && (F[18.0,19.0](x < 14.0)))	((G[1.0,19.0](x >= -2.0)) && (x < -11.0))	((G[7.0,16.0](x < 1.0)) && (F[11.0,20.0](x < 13.0)))	((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	((G[14.0,16.0](x >= 10.0)) && (G[13.0,19.0](x < -4.0)))	((x < 8.0) || (G[5.0,8.0](x >= 4.0)))	((F[19.0,20.0](x < 5.0)) || (G[2.0,11.0](x < 7.0)))	((F[1.0,4.0](x < -2.0)) || (G[1.0,19.0](x >= -2.0)))	((x < -11.0) || (x >= -9.0))	((F[19.0,20.0](x < 5.0)) || (G[14.0,16.0](x >= 10.0)))
(x < -11.0)	0	19	9	21	31	46	51	64	42	45	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	42	200
(x < 8.0)	-19	0	-10	2	12	27	32	45	23	26	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	23	200
(x < -2.0)	-9	10	0	12	22	37	42	55	33	36	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	33	200
(x < 10.0)	-21	-2	-12	0	10	25	30	43	21	24	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	21	200
(x < 20.0)	-31	-12	-22	-10	0	15	20	33	11	14	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	11	200
(x >= -5.0)	46	27	37	25	15	0	-5	-18	4	1	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	46	200
(x >= 0.0)	51	32	42	30	20	5	0	-13	9	6	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	51	200
(x >= 13.0)	64	45	55	43	33	18	13	0	22	19	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	64	200	74	74	65	200	184	64	200
(x >= -9.0)	42	23	33	21	11	-4	-9	-22	0	-3	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	42	200
(x >= -6.0)	45	26	36	24	14	-1	-6	-19	3	0	71	73	67	62	63	61	74	64	65	75	200	200	199	200	184	197	194	199	191	190	199	61	200	74	74	65	200	184	45	200
(G[11.0,18.0](x < 17.0))	463	482	472	484	494	509	514	527	505	508	0	33	104	489	433	21	429	433	430	461	470	478	478	476	467	522	500	504	498	504	478	463	478	429	429	482	489	467	505	470
(G[13.0,19.0](x < -4.0))	426	445	435	447	457	472	477	490	468	471	227	0	261	368	374	42	409	374	371	358	430	442	438	436	431	486	464	464	462	468	438	426	442	409	409	445	430	431	468	430
(G[7.0,16.0](x < 1.0))	595	614	604	616	626	641	646	659	637	640	444	375	0	389	551	37	585	551	585	891	608	616	616	614	597	658	638	642	632	634	616	595	616	585	585	614	608	597	637	608
(G[2.0,11.0](x < 7.0))	584	603	593	605	615	630	635	648	626	629	551	554	306	0	449	31	559	567	534	558	607	615	615	613	586	657	637	641	631	633	615	584	615	559	559	603	607	586	626	607
(G[3.0,5.0](x < -9.0))	181	200	190	202	212	227	232	245	223	226	123	126	117	16	0	47	131	162	121	130	209	217	217	215	190	259	239	243	233	235	217	181	217	131	131	200	209	190	223	209
(G[1.0,19.0](x >= -2.0))	1190	1171	1181	1169	1159	1144	1139	1126	1148	1145	877	1044	939	880	1116	0	1009	1089	946	906	1174	1166	1164	1168	1165	1118	1132	1138	1132	1128	1164	1190	1166	1044	1044	1171	1174	1165	1190	1174
(G[14.0,16.0](x >= 10.0))	255	236	246	234	224	209	204	191	213	210	33	54	49	125	131	12	0	131	128	140	229	227	219	223	246	181	193	193	197	197	219	255	227	54	54	236	229	246	255	229
(G[4.0,5.0](x >= -8.0))	167	148	158	146	136	121	116	103	125	122	61	64	55	25	41	-6	69	0	59	68	162	154	152	156	159	106	120	126	120	116	152	167	154	69	69	148	162	159	167	162
(G[5.0,8.0](x >= 4.0))	300	281	291	279	269	254	249	236	258	255	182	185	309	37	242	6	190	241	0	189	291	283	281	285	290	235	249	255	249	245	281	300	309	190	190	281	291	290	300	291
(G[15.0,19.0](x >= 0.0))	366	347	357	345	335	320	315	302	324	321	193	44	287	248	254	2	231	254	251	0	336	336	326	330	355	290	302	300	306	306	326	366	336	231	231	347	336	355	366	336
(F[19.0,20.0](x < 5.0))	64	83	73	85	95	110	115	128	106	109	74	52	60	71	61	94	109	102	111	96	0	68	70	66	129	176	162	96	162	166	102	94	68	109	109	111	71	129	106	109
